location,minutes,setTimeout,setInterval,focus
main,60,3600403.105000034,3600402.1850000136,false
worker,60,3600002.4100000155,3600001.6900000046,false
main,30,1800001.2699999788,1800000.5800000217,false
worker,30,1800897.6649999968,1800896.550000005,false
main,15,900412.8750000091,900411.5849999944,false
worker,15,900001.1800000211,900000.3399999987,false
main,10,600511.5100000112,600510.2950000146,false
worker,10,600001.0100000072,600000.3599999764,false
main,60,3600001.489999995,3600000.6850000354,true
worker,60,3600000.2250000252,3600000.570000033,true
main,30,1800001.0650000186,1800000.3600000055,true
worker,30,1800000.5450000172,1800000.1699999557,true
main,15,900001.4249999658,900000.6050000084,true
worker,15,900000.6799999974,900000.2049999894,true
main,10,600001.5600000042,600000.6550000398,true
worker,10,600000.6300000241,600000.224999967,true
